status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
81221197163_10155952758287164,A Alana Martina acaba de nascer! Tanto a Geo como a Alana estão muito bem! Estamos todos muito felizes! ❤️,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155952758067164/?type=3,https://www.facebook.com/Cristiano/posts/10155952758287164,2017-11-12 15:23:56,2850922,92360,64214,2428873,385759,29047,5919,647,348
81221197163_10155946361182164,"Living it up in the CR7 Suite.
#PestanaCR7Lisbon",,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10155946351952164/?type=3,https://www.facebook.com/Cristiano/posts/10155946361182164,2017-11-12 13:00:00,241009,2523,1490,220478,18434,1606,395,56,41
81221197163_10155951250192164,Genes 👌👌👌,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155951250067164/?type=3,https://www.facebook.com/Cristiano/posts/10155951250192164,2017-11-12 05:04:27,855727,8012,6683,769454,60463,3256,22294,110,150
81221197163_10155946625062164,"Vamos preparar bem o Mundial e ajudar as vítimas dos incêndios. Bom jogo, malta! #tudoporportugal",,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155946624937164/?type=3,https://www.facebook.com/Cristiano/posts/10155946625062164,2017-11-10 13:11:02,255813,1777,1881,237219,17388,891,243,35,38
81221197163_10155945845167164,Special guest today in training ground 👌👌👌❤️,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155945845067164/?type=3,https://www.facebook.com/Cristiano/posts/10155945845167164,2017-11-10 07:22:04,381525,3362,2905,349372,29219,1986,863,38,47
81221197163_10155943139672164,"CR7 JUNIOR IS LIVE👖 ⚽ Now available on 👉 CR7.com @CR7limitless #PressPlay
#CR7Junior #CR7Denim",,video,https://www.facebook.com/Cristiano/videos/10155943139672164/,https://www.facebook.com/Cristiano/videos/10155943139672164/,2017-11-09 07:00:00,398121,5097,16804,345046,48977,3223,761,54,60
81221197163_10155940348397164,"Like father like son 😜 We are excited to launch our CR7 Junior denim collection. Now available
on 👉 CR7.com #PressPlay #CR7Junior CR7 Limitless",,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10155940347872164/?type=3,https://www.facebook.com/Cristiano/posts/10155940348397164,2017-11-08 13:30:00,597723,6044,4355,539450,38616,2067,17372,92,126
81221197163_10155938905752164,Work done ✈️👌👌👌,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155938905557164/?type=3,https://www.facebook.com/Cristiano/posts/10155938905752164,2017-11-07 15:07:27,958192,14328,8509,886200,58682,10651,1984,380,295
81221197163_10155916239832164,Building mega projects with the world latest green steel.. this is what I call real innovation. @ahmedabohashima @egyptiansteel #A_New_Generation_Of_Steel,,video,https://www.facebook.com/Cristiano/videos/10155916239832164/,https://www.facebook.com/Cristiano/videos/10155916239832164/,2017-11-06 13:00:00,65440,1105,615,59095,5450,644,213,15,23
81221197163_10155935524417164,"💎👌⚽  
Chapter 5: available on nike.com/CR7  
#mercurial #CR7 Nike Football",Photos from Cristiano Ronaldo's post,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10155935521647164/?type=3,https://www.facebook.com/Cristiano/posts/10155935524417164,2017-11-06 07:33:47,120352,1276,793,109599,9885,636,177,34,21
81221197163_10155930355502164,⚽️👌,,video,https://www.facebook.com/Cristiano/videos/10155930355502164/,https://www.facebook.com/Cristiano/videos/10155930355502164/,2017-11-04 08:00:33,362469,5423,5143,324487,30706,5991,1213,34,39
81221197163_734350330090193,Learn the secrets to my success at ROCLiveLifeLoud.com.,CRISTIANO RONALDO TRAINING SECRETS | Train Like CRISTIANO RONA...,video,https://www.facebook.com/Cristiano/videos/734350330090193/,https://www.facebook.com/Cristiano/videos/734350330090193/,2017-11-03 13:45:35,291043,6824,10947,241597,13950,1162,34177,73,85
81221197163_10155908594207164,CLEAR Men: World's #1 Men Shampoo ☝🏼,,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10155908592842164/?type=3,https://www.facebook.com/Cristiano/posts/10155908594207164,2017-11-03 07:31:15,169238,3071,1383,153691,12225,734,2460,44,84
81221197163_10155926222617164,✌️,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155926222382164/?type=3,https://www.facebook.com/Cristiano/posts/10155926222617164,2017-11-02 16:16:50,653155,10315,5914,586695,57851,3709,4091,397,412
81221197163_10155918718567164,Traveling next to my neighbor!!👌🏽✈️,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155918718492164/?type=3,https://www.facebook.com/Cristiano/posts/10155918718567164,2017-10-31 05:07:56,712001,9106,4368,663500,41668,1753,4730,104,246
